Formation Energy,E Above Hull,Band Gap,Nsites,Density,Volume,Crystal System
-2.353,0.08199999999999999,1.411,28,3.112,337.098,orthorhombic
-2.62,0.049,2.117,28,3.1010000000000004,369.23199999999997,triclinic
-2.7310000000000003,0.011000000000000001,3.415,28,2.81,297.60900000000004,monoclinic
-2.452,0.043,0.0,30,3.115,344.25300000000004,monoclinic
-2.736,0.045,2.164,28,2.985,381.11699999999996,triclinic
-2.694,0.044000000000000004,2.325,34,2.821,435.36400000000003,triclinic
-2.625,0.001,3.443,32,3.0669999999999997,350.466,monoclinic
-2.603,0.024,2.931,16,3.06,175.643,monoclinic
-2.8960000000000004,0.032,3.342,26,2.76,330.95300000000003,triclinic
-2.539,0.08900000000000001,0.7240000000000001,36,2.9139999999999997,436.50800000000004,monoclinic
-2.563,0.031,0.0,25,3.492,299.319,triclinic
-2.589,0.08800000000000001,0.982,56,3.361,608.4540000000001,monoclinic
-2.615,0.011000000000000001,2.965,16,2.948,182.303,orthorhombic
-2.762,0.076,1.527,84,2.8560000000000003,1123.305,orthorhombic
-2.6260000000000003,0.052000000000000005,0.0,14,3.609,141.67600000000002,orthorhombic
-2.418,0.033,1.176,40,2.9410000000000003,424.186,orthorhombic
-2.77,0.051,2.9810000000000003,80,3.0980000000000003,921.698,orthorhombic
-2.6039999999999996,0.09,0.0,30,2.91,359.343,monoclinic
-2.832,0.091,1.37,36,2.8680000000000003,413.524,monoclinic
-2.349,0.086,1.474,14,3.096,169.421,monoclinic
-2.7910000000000004,0.015,3.3139999999999996,22,2.807,262.57599999999996,orthorhombic
-2.545,0.071,2.685,17,2.753,171.77200000000002,triclinic
-2.7910000000000004,0.03,3.056,20,2.2,324.509,triclinic
-2.911,0.064,3.0789999999999997,34,2.633,431.42199999999997,triclinic
-2.7119999999999997,0.033,2.8689999999999998,26,3.3,293.746,orthorhombic
-2.68,0.099,1.161,13,2.7089999999999996,149.499,triclinic
-2.647,0.07200000000000001,2.373,41,2.501,593.87,triclinic
-2.6210000000000004,0.005,2.9930000000000003,32,3.065,350.60400000000004,orthorhombic
-2.523,0.013999999999999999,2.9339999999999997,16,3.201,171.08,monoclinic
-2.582,0.04,1.989,28,3.634,283.063,orthorhombic
-2.522,0.015,2.7569999999999997,32,3.2260000000000004,339.50800000000004,orthorhombic
-2.372,0.063,1.4680000000000002,28,2.9610000000000003,354.341,monoclinic
-2.291,0.14400000000000002,0.511,14,4.15,126.395,orthorhombic
-2.5639999999999996,0.06,1.6840000000000002,30,2.741,383.694,monoclinic
-2.653,0.085,0.716,24,3.281,288.498,monoclinic
-2.784,0.079,2.76,66,2.9330000000000003,750.671,orthorhombic
-2.391,0.094,0.005,37,2.617,455.754,triclinic
-2.6260000000000003,0.0,3.1210000000000004,32,3.094,347.336,orthorhombic
-2.8819999999999997,0.10400000000000001,0.18899999999999997,24,2.6239999999999997,302.599,triclinic
-2.6210000000000004,0.005,3.0269999999999997,16,3.073,174.862,monoclinic
-2.588,0.034,1.6569999999999998,14,3.628,141.773,orthorhombic
-2.6460000000000004,0.073,2.391,41,2.55,582.533,triclinic
-2.898,0.077,3.1710000000000003,68,2.5180000000000002,902.44,monoclinic
-2.562,0.059000000000000004,2.8710000000000004,28,2.843,361.839,monoclinic
-2.553,0.073,2.6489999999999996,32,2.877,373.62199999999996,monoclinic
-2.6319999999999997,0.032,3.1180000000000003,46,3.5989999999999998,514.5509999999999,triclinic
-2.523,0.013999999999999999,2.693,32,3.159,346.67400000000004,orthorhombic
-2.1719999999999997,0.059000000000000004,0.348,56,4.2010000000000005,607.507,triclinic
-2.142,0.062,1.4380000000000002,31,4.186,287.012,orthorhombic
-2.823,0.04,3.447,22,2.7,271.853,monoclinic
-2.971,0.037000000000000005,3.262,100,2.735,1178.251,orthorhombic
-2.467,0.07,2.9160000000000004,64,3.0460000000000003,719.179,orthorhombic
-2.474,0.094,2.173,20,3.615,169.71200000000002,triclinic
-2.9760000000000004,0.032,3.386,100,2.592,1243.201,orthorhombic
-2.431,0.064,0.022000000000000002,30,3.032,353.61699999999996,monoclinic
-2.722,0.02,3.4419999999999997,14,2.824,148.024,monoclinic
-2.5839999999999996,0.09300000000000001,0.0,14,3.855,132.65,orthorhombic
